Date, CostBasis
2015-10-12,2105.786816269285
2016-04-07,4211.57363253857
2016-10-04,6317.360448807854
2016-10-10,6328.361648807853
2016-10-24,6339.362848807853
2016-11-03,6350.364048807853
2016-11-15,6361.365248807852
2016-11-28,6372.366448807852
2016-12-09,6383.367648807852
2016-12-21,6394.3688488078515
2017-01-03,6405.370048807851
2017-01-17,6416.371248807851
2017-01-26,6427.372448807851
2017-02-07,6438.37364880785
2017-02-21,6449.37484880785
2017-03-03,6460.37604880785
2017-03-15,6471.377248807849
2017-03-27,6482.378448807849
2017-04-03,8588.165265077147
2017-04-10,8599.166465077147
2017-04-20,8610.167665077148
2017-05-02,8621.168865077148
2017-05-15,8632.170065077149
2017-05-26,8643.17126507715
2017-06-07,8654.17246507715
2017-06-19,8665.17366507715
2017-07-03,8676.174865077151
2017-07-13,8687.176065077152
2017-07-25,8698.177265077153
2017-08-07,8709.178465077153
2017-08-18,8720.179665077154
2017-08-30,8731.180865077155
2017-09-11,8742.182065077155
2017-09-25,8753.183265077156
2017-09-29,10858.97008134644
2017-10-05,10869.971281346441
2017-10-17,10880.972481346442
2017-10-30,10891.973681346442
2017-11-10,10902.974881346443
2017-11-22,10913.976081346444
2017-12-04,10924.977281346444
2017-12-18,10935.978481346445
2017-12-28,10946.979681346445
2018-01-09,10957.980881346446
2018-01-22,10968.982081346447
2018-02-02,10979.983281346447
2018-02-14,10990.984481346448
2018-02-26,11001.985681346448
2018-03-12,11012.986881346449
2018-03-22,11023.98808134645
2018-03-28,13129.774897615735
2018-04-03,13140.776097615735
2018-04-16,13151.777297615736
2018-04-27,13162.778497615736
2018-05-09,13173.779697615737
2018-05-21,13184.780897615738
2018-06-04,13195.782097615738
2018-06-14,13206.783297615739
2018-06-26,13217.78449761574
2018-07-09,13228.78569761574
2018-07-20,13239.78689761574
2018-08-01,13250.788097615741
2018-08-13,13261.789297615742
2018-08-27,13272.790497615742
2018-09-06,13283.791697615743
2018-09-18,13294.792897615744
2018-09-24,15400.579713885028
2018-10-01,15411.580913885029
2018-10-12,15422.58211388503
2018-10-24,15433.58331388503
2018-11-05,15444.58451388503
2018-11-19,15455.585713885032
2018-11-29,15466.586913885032
2018-12-11,15477.588113885033
2018-12-24,15488.589313885033
2019-01-04,15499.590513885034
2019-01-16,15510.591713885035
2019-01-28,15521.592913885035
2019-02-11,15532.594113885036
2019-02-21,15543.595313885036
2019-03-05,15554.596513885037
2019-03-18,15565.597713885038
2019-03-25,17671.384530154184
2019-03-29,17682.385730154183
2019-04-10,17693.38693015418
2019-04-22,17704.38813015418
2019-05-06,17715.38933015418
2019-05-16,17726.390530154178
2019-05-28,17737.391730154177
2019-06-10,17748.392930154176
2019-06-21,17759.394130154174
2019-07-03,17770.395330154173
2019-07-15,17781.396530154172
2019-07-29,17792.39773015417
2019-08-08,17803.39893015417
2019-08-20,17814.40013015417
2019-09-03,17825.401330154167
2019-09-13,17836.402530154166
2019-09-19,19942.189346423453
2019-09-25,19953.19054642345
2019-10-07,19964.19174642345
2019-10-21,19975.19294642345
2019-10-31,19986.194146423448
2019-11-12,19997.195346423447
2019-11-25,20008.196546423445
2019-12-06,20019.197746423444
2019-12-18,20030.198946423443
2019-12-30,20041.20014642344
2020-01-13,20052.20134642344
2020-01-23,20063.20254642344
2020-02-04,20074.203746423438
2020-02-18,20085.204946423437
2020-02-28,20096.206146423436
2020-03-11,20107.207346423435
2020-03-23,20118.208546423433
2020-04-06,20129.209746423432
2020-04-16,20140.21094642343
2020-04-28,20151.21214642343
2020-05-11,20162.21334642343
2020-05-22,20173.214546423427
2020-06-03,20184.215746423426
2020-06-15,20195.216946423425
2020-06-29,20206.218146423424
2020-07-09,20217.219346423422
2020-07-21,20228.22054642342
2020-08-03,20239.22174642342
2020-08-14,20250.22294642342
2020-08-26,20261.224146423418
2020-09-08,20272.225346423416
2020-09-21,20283.226546423415
2020-10-01,20294.227746423414
2020-10-12,21764.760213955884
2020-10-13,21775.761413955883
2020-10-26,21786.76261395588
2020-11-06,21797.76381395588
2020-11-18,21808.76501395588
2020-11-30,21819.766213955878
2020-12-14,21830.767413955877
2020-12-24,21841.768613955875
2021-01-05,21852.769813955874
2021-01-19,21863.771013955873
2021-01-29,21874.772213955872
2021-02-10,21885.77341395587
2021-02-22,21896.77461395587
2021-03-08,21907.77581395587
2021-03-18,21918.777013955867
2021-03-30,21929.778213955866
2021-04-12,21940.779413955865
2021-04-23,21951.780613955863
2021-04-28,23422.313081488333
