Date, CostBasis
2014-10-10,49254.48
2015-01-20,98508.95999999999
2015-04-28,147763.44
2015-08-06,197017.91999999998
2015-11-16,246272.39999999997
2016-02-22,295526.87999999995
2016-06-01,344781.3599999999
2016-09-09,394035.8399999999
2016-10-10,395024.8199999999
2017-10-10,396013.7999999999
2018-10-10,397002.77999999985
2019-10-10,397991.75999999983
2020-10-12,410953.16999999975
2020-11-16,414824.6099999997
2020-12-21,418696.04999999964
2021-01-25,422567.4899999996
2021-02-10,431657.45999999956
2021-03-01,435528.8999999995
2021-04-05,439400.33999999944
2021-05-10,443271.7799999994
2021-06-14,456233.1899999993
2021-07-19,460104.62999999925
2021-08-23,463976.0699999992
2021-09-27,467847.50999999914
2021-10-14,476937.4799999991
2021-11-01,480808.91999999905
2021-12-06,484680.359999999
2022-01-10,488551.79999999894
2022-02-14,501513.20999999886
2022-03-21,505384.6499999988
2022-04-25,509256.08999999875
2022-05-31,513127.5299999987
2022-06-17,522217.49999999866
2022-07-05,526088.9399999987
2022-08-08,529960.3799999986
2022-09-12,533831.8199999986
2022-10-18,542921.7899999985
