Date, CostBasis
2010-11-11,14125.0
2010-12-01,28250.0
2010-12-21,42375.0
2011-01-10,56500.0
2011-01-30,70625.0
2011-02-19,84750.0
2011-03-11,98875.0
2011-03-31,113000.0
2011-04-20,127125.0
2011-05-10,141250.0
2011-05-30,155375.0
2011-06-19,169500.0
2011-07-09,183625.0
2011-07-29,197750.0
2011-08-18,211875.0
2011-09-07,226000.0
2011-09-27,240125.0
2011-10-17,254250.0
2011-11-06,268375.0
2011-11-26,282500.0
2011-12-16,296625.0
2012-01-05,310750.0
2012-01-25,324875.0
2012-02-14,339000.0
2012-03-05,353125.0
2012-03-25,367250.0
2012-04-14,381375.0
2012-05-04,395500.0
2012-05-24,409625.0
2012-06-13,423750.0
2012-07-03,437875.0
2012-07-23,452000.0
2012-08-12,466125.0
2012-09-01,480250.0
2012-09-21,494375.0
2012-10-11,508500.0
2012-10-31,522625.0
2012-11-20,536750.0
2012-12-10,550875.0
2012-12-30,565000.0
2013-01-19,579125.0
2013-02-08,593250.0
2013-02-28,607375.0
2013-03-20,621500.0
2013-04-09,635625.0
2013-04-29,649750.0
2013-05-19,663875.0
2013-06-08,678000.0
2013-06-28,692125.0
2013-07-18,706250.0
2013-08-07,720375.0
2013-08-27,734500.0
2013-09-16,748625.0
2013-10-06,762750.0
2013-10-26,776875.0
2013-11-15,791000.0
2013-12-05,805125.0
2013-12-25,819250.0
2014-01-14,833375.0
2014-02-03,847500.0
2014-02-23,861625.0
2014-03-15,875750.0
2014-04-04,889875.0
2014-04-24,904000.0
2014-05-14,918125.0
2014-06-03,932250.0
2014-06-23,946375.0
2014-07-13,960500.0
2014-08-02,974625.0
2014-08-22,988750.0
2014-09-11,1002875.0
2014-10-01,1017000.0
2014-10-21,1031125.0
2014-11-10,1045250.0
2014-11-30,1059375.0
2014-12-20,1073500.0
2015-01-09,1087625.0
2015-01-29,1101750.0
2015-02-18,1115875.0
2015-03-10,1130000.0
2015-03-30,1144125.0
2015-04-19,1158250.0
2015-05-09,1172375.0
2015-05-29,1186500.0
2015-06-18,1200625.0
2015-07-08,1214750.0
2015-07-28,1228875.0
2015-08-17,1243000.0
2015-09-06,1257125.0
2015-09-26,1271250.0
2015-10-16,1285375.0
2015-11-05,1299500.0
2015-11-25,1313625.0
2015-12-15,1327750.0
2016-01-04,1341875.0
2016-01-24,1356000.0
2016-02-13,1370125.0
2016-03-04,1384250.0
2016-03-24,1398375.0
2016-04-13,1412500.0
2016-05-03,1426625.0
2016-05-23,1440750.0
2016-06-12,1454875.0
2016-07-02,1469000.0
2016-07-22,1483125.0
2016-08-11,1497250.0
2016-08-31,1511375.0
