Date, CostBasis
2010-10-10,340.4
2014-10-10,442.13
2018-04-05,1235.13
2020-10-10,4238.13
2020-11-09,7241.129999999999
2020-12-09,10244.13
2021-01-08,13247.13
2021-02-07,16250.13
2021-03-09,19253.13
2021-04-08,22256.13
2021-05-08,25259.13
2021-06-07,28262.13
2021-07-07,31265.13
2021-08-06,34268.13
2021-09-05,37271.13
2021-10-05,40274.13
2021-11-04,43277.13
2021-12-04,46280.13
2022-01-03,49283.13
2022-02-02,52286.13
2022-03-04,55289.13
2022-04-03,58292.13
2022-05-03,61295.13
2022-06-02,64298.13
2022-07-02,67301.12999999999
2022-08-01,70304.12999999999
2022-08-31,73307.12999999999
2022-09-30,76310.12999999999
2022-10-10,85463.12999999999
