Date, CostBasis
2014-10-10,1263.858585858586
2015-10-12,2527.717171717172
2018-10-10,3759.9471717171723
2018-10-22,4992.177171717172
2018-11-05,6224.407171717172
2018-11-15,7456.637171717171
2018-11-27,8688.867171717171
2018-12-10,9921.097171717169
2018-12-21,11153.327171717168
2019-01-02,12385.557171717168
2019-01-14,13617.787171717167
2019-01-28,14850.017171717167
2019-02-07,16082.247171717167
2019-02-19,17314.477171717168
2019-03-04,18546.70717171717
2019-03-15,19778.93717171717
2019-03-27,21011.16717171717
2019-04-08,22243.39717171717
2019-04-22,23475.62717171717
2019-05-02,24707.85717171717
2019-05-14,25940.08717171717
2019-05-28,27172.317171717168
2019-06-07,28404.547171717168
2019-06-19,29636.777171717167
2019-07-01,30869.007171717167
2019-07-15,32101.237171717166
2019-07-25,33333.467171717166
2019-08-06,34565.69717171716
2019-08-19,35797.927171717165
2019-08-30,37030.15717171717
2019-09-11,38262.38717171717
2019-09-23,39494.617171717175
2019-10-07,40726.84717171718
2019-10-17,41959.07717171718
2019-10-29,43191.307171717184
2019-11-11,44423.53717171719
2019-11-22,45655.76717171719
2019-12-04,46887.997171717194
2019-12-16,48120.2271717172
2019-12-30,49352.4571717172
2020-01-09,50584.6871717172
2020-01-21,51816.91717171721
2020-02-03,53049.14717171721
2020-02-14,54281.37717171721
2020-02-26,55513.607171717216
2020-03-09,56745.83717171722
2020-03-23,57978.06717171722
2020-04-02,59210.297171717226
2020-04-14,60442.52717171723
2020-04-27,61674.75717171723
2020-05-08,62906.987171717235
2020-05-20,64139.21717171724
2020-06-01,65371.44717171724
2020-06-15,66603.67717171725
2020-06-25,67835.90717171725
2020-07-07,69068.13717171724
2020-07-20,70300.36717171724
2020-07-31,71532.59717171724
2020-08-12,72764.82717171723
2020-08-24,73997.05717171723
2020-09-08,75229.28717171722
2020-09-17,76461.51717171722
2020-09-29,77693.74717171722
2020-10-12,78925.97717171721
2020-10-23,80158.20717171721
2020-11-04,81390.4371717172
2020-11-16,82622.6671717172
2020-11-30,83854.8971717172
2020-12-10,85087.12717171719
2020-12-22,86319.35717171719
2021-01-04,87551.58717171718
2021-01-15,88783.81717171718
2021-01-27,90016.04717171717
2021-02-08,91248.27717171717
2021-02-22,92480.50717171717
2021-03-04,93712.73717171716
2021-03-16,94944.96717171716
2021-03-29,96177.19717171715
2021-04-09,97409.42717171715
2021-04-21,98641.65717171715
2021-05-03,99873.88717171714
2021-05-17,101106.11717171714
2021-05-27,102338.34717171713
2021-06-08,103570.57717171713
2021-06-21,104802.80717171713
2021-07-02,106035.03717171712
2021-07-14,107267.26717171712
2021-07-26,108499.49717171711
2021-08-09,109731.72717171711
2021-08-19,110963.9571717171
2021-08-31,112196.1871717171
2021-09-13,113428.4171717171
2021-09-24,114660.6471717171
2021-10-06,115892.87717171709
2021-10-18,117125.10717171709
2021-11-01,118357.33717171708
2021-11-11,119589.56717171708
2021-11-23,120821.79717171707
2021-12-06,122054.02717171707
2021-12-17,123286.25717171706
2021-12-29,124518.48717171706
2022-01-10,125750.71717171706
2022-01-24,126982.94717171705
2022-02-03,128215.17717171705
2022-02-15,129447.40717171704
2022-02-28,130679.63717171704
2022-03-11,131911.86717171705
2022-03-23,133144.09717171706
2022-04-04,134376.32717171707
2022-04-18,135608.55717171708
2022-04-28,136840.7871717171
2022-05-10,138073.0171717171
2022-05-23,139305.2471717171
2022-06-03,140537.47717171712
2022-06-15,141769.70717171713
2022-06-27,143001.93717171715
2022-07-11,144234.16717171716
2022-07-21,145466.39717171717
2022-08-02,146698.62717171718
2022-08-15,147930.8571717172
2022-08-26,149163.0871717172
2022-09-07,150395.3171717172
2022-09-19,151627.54717171722
2022-10-03,152859.77717171723
2022-10-13,154092.00717171724
2022-10-25,155324.23717171725
