Date, CostBasis
2016-10-10,24225.222222222223
2016-11-29,48450.44444444444
2017-01-18,72675.66666666666
2017-03-09,96900.88888888888
2017-04-28,121126.1111111111
2017-06-19,145351.3333333333
2017-08-07,169576.55555555553
2017-09-25,193801.77777777775
2017-11-14,218026.99999999997
2018-01-03,242252.2222222222
2018-02-22,266477.44444444444
2018-04-13,290702.6666666667
2018-06-04,314927.88888888893
2018-07-23,339153.1111111112
2018-09-10,363378.33333333343
2018-10-30,387603.5555555557
2018-12-19,411828.7777777779
2019-02-07,436054.0000000002
2019-03-29,460279.2222222224
2019-05-20,484504.44444444467
2019-07-08,508729.6666666669
2019-08-26,532954.8888888892
2019-10-15,557180.1111111115
2019-12-04,581405.3333333337
2020-01-23,605630.555555556
2020-03-13,629855.7777777782
2020-05-04,654081.0000000005
2020-06-22,678306.2222222227
2020-08-10,702531.444444445
2020-09-29,726756.6666666672
2020-11-18,750981.8888888895
2021-01-07,775207.1111111117
2021-02-26,799432.333333334
2021-04-19,823657.5555555562
2021-06-07,847882.7777777785
2021-07-26,872108.0000000007
2021-09-14,896333.222222223
2021-11-03,920558.4444444452
2021-12-23,944783.6666666674
2022-02-11,969008.8888888897
2022-04-04,993234.1111111119
2022-05-23,1017459.3333333342
2022-07-11,1041684.5555555564
2022-08-30,1065909.7777777787
2022-10-19,1090135.000000001
