Date, CostBasis
2014-01-09,903.7352941176471
2014-02-24,1807.4705882352941
2014-04-09,2711.205882352941
2014-05-27,3614.941176470588
2014-07-08,4518.676470588234
2014-08-22,5422.411764705881
2014-10-06,6326.147058823528
2014-11-20,7229.882352941175
2015-01-05,8133.617647058822
2015-02-18,9037.352941176468
2015-04-06,9941.088235294115
2015-05-19,10844.823529411762
2015-07-06,11748.558823529409
2015-08-17,12652.294117647056
2015-10-01,13556.029411764703
2015-10-12,25842.43406466476
2015-11-09,38128.838717564824
2015-12-09,50415.24337046488
