Date, CostBasis
2013-10-10,163.6161616161616
2013-11-14,327.2323232323232
2013-12-19,490.8484848484849
2014-01-23,654.4646464646465
2014-02-27,818.0808080808082
2014-04-03,981.6969696969699
2014-05-08,1145.3131313131314
2014-06-12,1308.929292929293
2014-07-17,1472.5454545454547
2014-08-21,1636.1616161616164
2014-09-25,1799.777777777778
2014-10-10,41940.65277777778
2014-10-30,42104.268939393936
2014-12-04,42267.8851010101
2015-01-08,42431.50126262626
2015-02-12,42595.117424242424
2015-03-19,42758.73358585859
2015-04-23,42922.34974747475
2015-05-28,43085.965909090904
2015-06-17,43127.965909090904
2015-07-02,43291.58207070707
2015-08-06,43455.19823232323
2015-09-10,43618.81439393939
2015-10-12,43919.81439393939
2015-10-15,44083.430555555555
2015-11-16,84182.30555555556
2015-11-19,84345.9217171717
2015-12-24,84509.53787878787
2016-01-28,84673.15404040404
2016-02-22,84715.15404040404
2016-03-03,84878.7702020202
2016-04-07,85042.38636363635
2016-05-12,85206.00252525252
2016-06-16,85670.61868686868
2016-07-21,85834.23484848483
2016-08-25,85997.851010101
2016-09-29,86161.46717171717
2016-10-31,86203.46717171717
2016-11-03,86367.08333333333
2016-12-08,86530.69949494948
2016-12-19,126629.57449494948
2017-02-21,126930.57449494948
2017-07-06,126972.57449494948
2017-10-05,135974.35702614379
2017-10-30,136275.35702614379
2018-01-13,145277.1395573381
2018-01-22,185376.0145573381
2018-03-13,185418.0145573381
2018-04-23,194419.7970885324
2018-07-06,194720.7970885324
2018-08-01,203722.5796197267
2018-11-09,212724.36215092096
2018-11-19,212766.36215092096
2019-02-17,221768.14468211523
2019-02-26,261867.01968211523
2019-03-13,262168.01968211523
2019-05-28,271169.80221330957
2019-07-26,271211.80221330957
2019-09-05,280213.58474450384
2019-11-18,280514.58474450384
2019-12-14,289516.3672756981
2020-03-23,298518.14980689244
2020-04-01,338659.02480689244
2020-07-01,347660.8073380868
2020-10-09,356662.58986928104
2020-10-12,363040.58986928104
2020-12-07,363082.58986928104
2021-01-17,372084.3724004753
2021-04-27,381086.15493166965
2021-05-06,421185.02993166965
2021-10-11,427563.02993166965
2022-06-10,467661.90493166965
2022-10-10,474039.90493166965
