share,quantity,purchaseDate
MSFT,253.69978858350953,2008-10-10
MSFT,467.1849335755038,2009-10-10
MSFT,689.1851555757258,2010-10-10
MSFT,891.6552912307168,2011-10-10
MSFT,1077.944411946067,2012-10-09
MSFT,1242.8837967221618,2013-10-09
MSFT,1361.8488011833495,2014-10-09
MSFT,1477.6319778877744,2015-10-09
MSFT,1572.0012764093221,2016-10-08
MSFT,1643.7716113375518,2017-10-08
MSFT,1692.9781558079665,2018-10-08
MSFT,1733.1826627331927,2019-10-08
MSFT,1759.1777323349916,2020-10-07
MSFT,1777.6771233967024,2021-10-07
MSFT,1800.9632634861211,2022-10-07
AAPL,68.87052341597797,2008-10-10
AAPL,103.87166095294793,2009-10-10
AAPL,126.54200021457498,2010-10-10
AAPL,143.68833561404173,2011-10-10
AAPL,154.17298870308264,2012-10-09
AAPL,167.87383349717265,2013-10-09
AAPL,233.86736613097455,2014-10-09
AAPL,293.32746840235046,2015-10-09
AAPL,351.7762380557493,2016-10-08
AAPL,394.7039049370543,2017-10-08
AAPL,424.49640020749564,2018-10-08
AAPL,454.20525344576066,2019-10-08
AAPL,512.1359683107821,2020-10-07
AAPL,558.6616621251911,2021-10-07
AAPL,606.2501171659982,2022-10-07
