share,quantity,purchaseDate
MSFT,0.7641666666666667,2022-10-10
MSFT,1.5559333333333334,2022-10-17
MSFT,2.3801,2022-10-24
MSFT,3.1538666666666666,2022-10-31
MSFT,3.9134333333333333,2022-11-07
MSFT,4.7186,2022-11-14
MSFT,5.525433333333334,2022-11-21
AAPL,1.4042,2022-10-10
AAPL,2.8282999999999996,2022-10-17
AAPL,4.322799999999999,2022-10-24
AAPL,5.856199999999999,2022-10-31
AAPL,7.245399999999999,2022-11-07
AAPL,8.7282,2022-11-14
AAPL,10.2083,2022-11-21
V,0.30363333333333337,2022-10-10
V,0.6123833333333334,2022-10-17
V,0.9302333333333335,2022-10-24
V,1.2755,2022-10-31
V,1.609,2022-11-07
V,1.9537666666666667,2022-11-14
V,2.297633333333333,2022-11-21
