share,quantity,purchaseDate
MSFT,559.305927776516,2014-10-10
MSFT,1090.158266642651,2015-01-20
MSFT,1591.1498239613368,2015-04-28
MSFT,2119.383200194713,2015-08-06
MSFT,2577.4179811860645,2015-11-16
MSFT,3045.152833987584,2016-02-22
MSFT,3511.1176400424565,2016-06-01
MSFT,3949.2290081264273,2016-09-09
AAPL,8.51339939681172,2016-10-10
AAPL,14.850666875965022,2017-10-10
AAPL,19.417037739340877,2018-10-10
AAPL,23.71092274086202,2019-10-10
TSLA,103.94765944873582,2014-10-10
TSLA,232.2561052362625,2015-01-20
TSLA,339.10372758961205,2015-04-28
TSLA,439.15752030078096,2015-08-06
TSLA,554.066950565351,2015-11-16
TSLA,692.6189928743416,2016-02-22
TSLA,804.7807709759995,2016-06-01
TSLA,931.4133621211633,2016-09-09
