share,quantity,purchaseDate
MSFT,34.45899379738112,2016-10-10
MSFT,67.19757621676236,2016-11-29
MSFT,99.19757621676236,2017-01-18
MSFT,130.09515075716092,2017-03-09
MSFT,159.3092904007484,2017-04-28
MSFT,187.52997616341244,2017-06-19
MSFT,215.15428555567763,2017-08-07
MSFT,242.45431285570493,2017-09-25
MSFT,266.2496727605235,2017-11-14
MSFT,289.4112245844957,2018-01-03
MSFT,311.21434243034764,2018-02-22
MSFT,332.70123542562055,2018-04-13
MSFT,352.3727216064015,2018-06-04
MSFT,370.8963855871369,2018-07-23
MSFT,389.1812639926955,2018-09-10
MSFT,408.4620892120149,2018-10-30
MSFT,427.7503523039235,2018-12-19
MSFT,446.74911738419326,2019-02-07
MSFT,463.7068925240949,2019-03-29
MSFT,479.5522419140489,2019-05-20
MSFT,494.15504565236665,2019-07-08
MSFT,508.92064181331165,2019-08-26
MSFT,523.0479286678712,2019-10-15
MSFT,536.394608681218,2019-12-04
MSFT,548.3907699096249,2020-01-23
MSFT,560.9828494915678,2020-03-13
MSFT,572.166029988101,2020-05-04
MSFT,582.1376109822676,2020-06-22
MSFT,591.7414525188822,2020-08-10
MSFT,601.3911678522799,2020-09-29
MSFT,610.8662483904644,2020-11-18
MSFT,620.0283721707567,2021-01-07
MSFT,628.6349648207266,2021-02-26
MSFT,636.3647321547298,2021-04-19
MSFT,644.244642323754,2021-06-07
MSFT,651.1638604521055,2021-07-26
MSFT,657.8351970543938,2021-09-14
MSFT,663.8232210064896,2021-11-03
MSFT,669.7988999930144,2021-12-23
MSFT,676.5776418585242,2022-02-11
MSFT,682.9274529516442,2022-04-04
MSFT,690.6005778317517,2022-05-23
MSFT,698.1617286389046,2022-07-11
MSFT,705.7671589161225,2022-08-30
MSFT,714.224533746975,2022-10-19
TSLA,99.52724558347849,2016-10-10
TSLA,205.02917099361724,2016-11-29
TSLA,288.93586674793846,2017-01-18
TSLA,370.60185286472085,2017-03-09
TSLA,434.2819241864007,2017-04-28
TSLA,488.36521245032714,2017-06-19
TSLA,544.6762747585176,2017-08-07
TSLA,602.6489696192382,2017-09-25
TSLA,667.4367895090988,2017-11-14
TSLA,730.4785546785236,2018-01-03
TSLA,788.2536362858264,2018-02-22
TSLA,854.84483292963,2018-04-13
TSLA,922.2439028224654,2018-06-04
TSLA,988.2069635084813,2018-07-23
TSLA,1058.2595029130348,2018-09-10
TSLA,1118.8839345589881,2018-10-30
TSLA,1178.9494059227748,2018-12-19
TSLA,1243.987941254959,2019-02-07
TSLA,1315.4522448353205,2019-03-29
TSLA,1412.8421941925467,2019-05-20
TSLA,1499.67036124994,2019-07-08
TSLA,1592.6936170638935,2019-08-26
TSLA,1670.2460619047172,2019-10-15
TSLA,1730.3007116359727,2019-12-04
TSLA,1765.2535253374756,2020-01-23
TSLA,1801.842014598754,2020-03-13
TSLA,1828.116663503758,2020-05-04
TSLA,1848.2309124377027,2020-06-22
TSLA,1862.3296174716454,2020-08-10
TSLA,1910.0543412648065,2020-09-29
TSLA,1951.1524836287715,2020-11-18
TSLA,1975.661086148256,2021-01-07
TSLA,2005.2687841497363,2021-02-26
TSLA,2033.2552946516744,2021-04-19
TSLA,2066.3060440774175,2021-06-07
TSLA,2096.718744421081,2021-07-26
TSLA,2123.5827721447577,2021-09-14
TSLA,2140.0591367996603,2021-11-03
TSLA,2158.803279255143,2021-12-23
TSLA,2182.0590932086316,2022-02-11
TSLA,2199.519479956198,2022-04-04
TSLA,2229.1534998109914,2022-05-23
TSLA,2257.6017879352535,2022-07-11
TSLA,2329.6219535816344,2022-08-30
TSLA,2419.6958141472983,2022-10-19
QCOM,33.04419661296985,2016-10-10
QCOM,66.3259432390328,2016-11-29
QCOM,100.4457378378693,2017-01-18
QCOM,138.77974201627575,2017-03-09
QCOM,180.13110454367103,2017-04-28
QCOM,218.70465466035603,2017-06-19
QCOM,260.8720592566031,2017-08-07
QCOM,303.921695487177,2017-09-25
QCOM,337.59172915721064,2017-11-14
QCOM,371.29239980055644,2018-01-03
QCOM,407.0309366648572,2018-02-22
QCOM,446.90572981436776,2018-04-13
QCOM,484.75655969381285,2018-06-04
QCOM,522.3703413834239,2018-07-23
QCOM,553.0979716685763,2018-09-10
QCOM,588.2708463476238,2018-10-30
QCOM,627.4703916328984,2018-12-19
QCOM,671.4312664543074,2019-02-07
QCOM,710.3971128899067,2019-03-29
QCOM,739.4002742344933,2019-05-20
QCOM,768.3996507478982,2019-07-08
QCOM,798.8786278734259,2019-08-26
QCOM,827.4345546560296,2019-10-15
QCOM,854.5084121392438,2019-12-04
QCOM,878.6630015112245,2020-01-23
QCOM,907.9760502148549,2020-03-13
QCOM,937.3394516712797,2020-05-04
QCOM,962.2718226150946,2020-06-22
QCOM,983.1652244787861,2020-08-10
QCOM,1002.0970886994559,2020-09-29
QCOM,1017.209106531637,2020-11-18
QCOM,1031.4815678175858,2021-01-07
QCOM,1047.7986411873062,2021-02-26
QCOM,1064.2291197249936,2021-04-19
QCOM,1080.8974532250102,2021-06-07
QCOM,1096.383322369416,2021-07-26
QCOM,1112.1281305189286,2021-09-14
QCOM,1128.1753736025669,2021-11-03
QCOM,1140.3359417443105,2021-12-23
QCOM,1153.8334042213648,2022-02-11
QCOM,1168.2812439081356,2022-04-04
QCOM,1185.1009700829934,2022-05-23
QCOM,1201.9054333484366,2022-07-11
QCOM,1218.4385947368914,2022-08-30
QCOM,1238.130417707403,2022-10-19
