share,quantity,purchaseDate
KO,199.76028765481422,2002-10-01
KO,435.99936159764434,2005-06-27
KO,599.4514701298444,2008-03-24
KO,752.5673788727628,2010-12-20
KO,1011.0320984385421,2013-09-13
KO,1229.5635669700107,2016-06-09
KO,1449.5855691702307,2019-03-06
QCOM,1.0,2020-10-10
AAPL,172.2949689869056,2002-10-01
AAPL,239.68041373084088,2005-06-27
AAPL,257.59770750278955,2008-03-24
AAPL,265.35662249611687,2010-12-20
AAPL,270.7341230338669,2013-09-13
AAPL,295.82193035950667,2016-06-09
AAPL,310.146936089509,2019-03-06
