share,quantity,purchaseDate
GOOG,2.1477552521206937,2015-10-12
GOOG,3.9149243603082002,2016-10-10
GOOG,5.336509712292734,2017-10-09
GOOG,6.55609567749258,2018-10-09
GOOG,7.711279356318248,2019-10-09
GOOG,8.645972705862903,2020-10-08
META,13.261192446424781,2015-10-12
META,22.85885829409063,2016-10-10
META,30.105235105684834,2017-10-09
META,38.02163789225862,2018-10-09
META,44.971874200293094,2019-10-09
META,49.7110310095136,2020-10-08
MGM,2371.9165085388995,2015-10-12
MGM,4238.284556317922,2016-10-10
MGM,5861.134280433469,2017-10-09
MGM,7689.956518911889,2018-10-09
MGM,9555.628160702934,2019-10-09
MGM,11835.609920848852,2020-10-08
KO,51.75983436853002,2015-10-12
KO,103.85456342384421,2016-10-10
KO,151.72756592281496,2017-10-09
KO,198.58923963435325,2018-10-09
KO,238.97402587767965,2019-10-09
KO,282.0559331998806,2020-10-08
