share,quantity,purchaseDate
MSFT,6.382978723404255,2015-10-12
MSFT,12.3365409381294,2016-06-16
MSFT,16.988424951154677,2017-02-21
MSFT,20.564536525835805,2017-10-30
MSFT,23.53013557684411,2018-07-06
MSFT,26.15022291308865,2019-03-13
MSFT,28.14569983207229,2019-11-18
GOOG,3.124152573614407,2017-10-05
GOOG,5.824331703497884,2018-01-13
GOOG,8.663156032790152,2018-04-23
GOOG,11.146990616361624,2018-08-01
GOOG,13.989276439466279,2018-11-09
GOOG,16.710331555798188,2019-02-17
GOOG,19.38220302809289,2019-05-28
GOOG,21.88373271349551,2019-09-05
GOOG,24.132015531286353,2019-12-14
GOOG,26.999936856174234,2020-03-23
GOOG,29.107182155542144,2020-07-01
GOOG,31.10709175962804,2020-10-09
GOOG,32.852466995231886,2021-01-17
GOOG,34.16592404571171,2021-04-27
META,17.6962335336547,2017-10-05
META,34.59037988088684,2018-01-13
META,52.862829412381245,2018-04-23
META,70.51679405149008,2018-08-01
META,91.42120237311694,2018-11-09
META,110.06922102113559,2019-02-17
META,126.51055914876312,2019-05-28
META,142.38433091567268,2019-09-05
META,157.99559787926563,2019-12-14
META,178.45679322229756,2020-03-23
META,191.21327830039917,2020-07-01
META,202.67216667363806,2020-10-09
META,214.72779617038788,2021-01-17
META,224.71001783360566,2021-04-27
TSLA,0.4205590280880861,2013-10-10
TSLA,0.949100254303731,2013-11-14
TSLA,1.465922829113799,2013-12-19
TSLA,1.866624056261307,2014-01-23
TSLA,2.154607238043491,2014-02-27
TSLA,2.4772659457953665,2014-04-03
TSLA,2.884496321109061,2014-05-08
TSLA,3.241843376569324,2014-06-12
TSLA,3.579481597215901,2014-07-17
TSLA,3.8654266814624716,2014-08-21
TSLA,4.15992869696064,2014-09-25
TSLA,4.464660418771051,2014-10-30
TSLA,4.783248436675698,2014-12-04
TSLA,5.128557520678607,2015-01-08
TSLA,5.4870318539163465,2015-02-12
TSLA,5.858753155870207,2015-03-19
TSLA,6.191448822509149,2015-04-23
TSLA,6.48068037044024,2015-05-28
TSLA,6.740402078629915,2015-07-02
TSLA,7.035885249016591,2015-08-06
TSLA,7.32857388684367,2015-09-10
TSLA,7.657195606274661,2015-10-15
TSLA,7.985091335432789,2015-11-19
TSLA,8.300515166491785,2015-12-24
TSLA,8.68389562367298,2016-01-28
TSLA,9.05544601054982,2016-03-03
TSLA,9.338211456612312,2016-04-07
TSLA,9.689076338546279,2016-05-12
TSLA,10.02279483864848,2016-06-16
TSLA,10.352623739905953,2016-07-21
TSLA,10.681765995188686,2016-08-25
TSLA,11.044134070561245,2016-09-29
TSLA,11.432178424030846,2016-11-03
TSLA,11.810395038141163,2016-12-08
QCOM,1.3298756566261054,2013-10-10
QCOM,2.577964520553217,2013-11-14
QCOM,3.8052030803887673,2013-12-19
QCOM,4.976797767206863,2014-01-23
QCOM,6.158988070290902,2014-02-27
QCOM,7.262512451282694,2014-04-03
QCOM,8.380611682589473,2014-05-08
QCOM,9.500965714463545,2014-06-12
QCOM,10.63896198752575,2014-07-17
QCOM,11.796821683877045,2014-08-21
QCOM,12.985016963771296,2014-09-25
QCOM,14.133897523276127,2014-10-30
QCOM,15.345908552576494,2014-12-04
QCOM,16.53896792965037,2015-01-08
QCOM,17.801773568077543,2015-02-12
QCOM,19.074706245850546,2015-03-19
QCOM,20.375392357774587,2015-04-23
QCOM,21.634441775464232,2015-05-28
QCOM,23.04291727679348,2015-07-02
QCOM,24.45744447107879,2015-08-06
QCOM,26.063966952352764,2015-09-10
QCOM,27.563948202587138,2015-10-15
QCOM,29.40087502401489,2015-11-19
QCOM,31.194798109562598,2015-12-24
QCOM,33.23400180052128,2016-01-28
QCOM,34.931002352046455,2016-03-03
QCOM,36.7077141027738,2016-04-07
QCOM,38.433376865128466,2016-05-12
QCOM,40.097339592363376,2016-06-16
QCOM,41.58055148772278,2016-07-21
QCOM,42.99959505236021,2016-08-25
QCOM,44.31744366450089,2016-09-29
QCOM,45.64513431257989,2016-11-03
QCOM,46.94183582809979,2016-12-08
AMZN,2.9985996539615996,2017-10-05
AMZN,5.252029373995491,2018-01-13
AMZN,7.189741989512228,2018-04-23
AMZN,8.826301953560279,2018-08-01
AMZN,10.54384747109281,2018-11-09
AMZN,12.372994192438771,2019-02-17
AMZN,13.974567065125578,2019-05-28
AMZN,15.572407296441712,2019-09-05
AMZN,17.242638235933253,2019-12-14
AMZN,18.78832359436687,2020-03-23
AMZN,19.810026609821147,2020-07-01
AMZN,20.70491242686532,2020-10-09
AMZN,21.652380082688218,2021-01-17
AMZN,22.51301994088231,2021-04-27
