share,quantity,purchaseDate
META,0.18907165815844207,2020-10-10
META,0.37722549273359074,2021-03-09
META,0.514773290593347,2021-08-06
META,0.662466325389826,2022-01-03
META,0.9138994944534888,2022-06-02
GOOG,0.026398806773933817,2020-10-10
GOOG,0.04588533671011544,2021-03-09
GOOG,0.06048004175112656,2021-08-06
GOOG,0.07426606203725541,2022-01-03
GOOG,0.09125177705092892,2022-06-02
GOOG,0.19255863552524766,2022-10-10
GOOG,0.2878602651831148,2022-10-25
GOOG,0.4022767411556548,2022-11-09
GOOG,0.5034708314207833,2022-11-24
AAPL,0.15544001181344091,2020-10-10
AAPL,0.30559748946813126,2021-03-09
AAPL,0.43001118990482334,2021-08-06
AAPL,0.5299058010900229,2022-01-03
AAPL,0.6501479688158227,2022-06-02
