share,quantity,purchaseDate
META,198.66954975917278,2015-10-12
META,342.4548059039795,2016-10-10
META,451.0147581376005,2017-10-09
META,569.612552693013,2018-10-09
META,673.7359430755519,2019-10-09
META,744.7345469590051,2020-10-08
META,801.4731979521869,2021-10-08
AAPL,17.921146953405017,2015-10-12
AAPL,35.155097836645,2016-10-10
AAPL,47.988773401326725,2017-10-09
AAPL,56.8043946822365,2018-10-09
AAPL,65.6138031304592,2019-10-09
AAPL,83.00964552412711,2020-10-08
AAPL,97.00544678374922,2021-10-08
MGM,94.87666034155599,2015-10-12
MGM,169.53138225271687,2016-10-10
MGM,234.44537121733873,2017-10-09
MGM,307.5982607564755,2018-10-09
MGM,382.2251264281173,2019-10-09
MGM,473.424396833954,2020-10-08
MGM,518.4390265886243,2021-10-08
VZ,178.3046084609103,2015-10-12
VZ,335.68444816639595,2016-10-10
VZ,496.72204561427213,2017-10-09
VZ,640.3644197699064,2018-10-09
VZ,773.7466243429953,2019-10-09
VZ,907.1964326690356,2020-10-08
VZ,1055.5603349007847,2021-10-08
QCOM,78.65469017917538,2015-10-12
QCOM,146.24509234206823,2016-10-10
QCOM,232.20300734688186,2017-10-09
QCOM,297.0177021344841,2018-10-09
QCOM,358.1536072515594,2019-10-09
QCOM,395.3078866814641,2020-10-08
QCOM,431.226136744321,2021-10-08
V,22.2251855802996,2015-10-12
V,42.27651698870511,2016-10-10
V,57.851385381067196,2017-10-09
V,69.56290717620925,2018-10-09
V,79.09325179347061,2019-10-09
V,87.30424138193581,2020-10-08
V,94.54212155159172,2021-10-08
