share,quantity,purchaseDate
GOOG,77.31918907634497,2015-10-12
GOOG,140.9372769710952,2016-10-10
GOOG,192.1143496425384,2017-10-09
GOOG,236.01944438973288,2018-10-09
GOOG,277.60605682745694,2019-10-09
GOOG,270.60605682745694,2020-10-10
GOOG,270.7073636859313,2022-10-10
AAPL,20.0,2020-10-10
KO,366.3003663003663,2015-10-12
KO,734.9707565379745,2016-10-10
KO,1073.7643126845367,2017-10-09
KO,1405.4007727969615,2018-10-09
KO,1691.200798518964,2019-10-09
V,889.0074232119839,2015-10-12
V,1691.0606795482047,2016-10-10
V,2314.055415242688,2017-10-09
V,2782.5162870483705,2018-10-09
V,3163.730071738825,2019-10-09
