Date, CostBasis
2008-10-10,2199.802197802198
2009-10-10,4462.344395604396
2010-10-10,6662.146593406594
2011-10-10,8861.948791208792
2012-10-09,11061.75098901099
2013-10-09,13261.55318681319
2014-10-09,15461.355384615388
2015-10-09,17661.157582417585
2015-10-10,28081.824249084246
2015-11-09,38502.4909157509
2015-12-09,48923.15758241755
2016-01-08,59343.82424908422
2016-02-07,69764.4909157509
2016-03-08,80185.1575824176
2016-04-07,90605.82424908427
2016-05-07,101026.49091575094
2016-06-06,111447.15758241761
2016-07-06,121867.82424908428
2016-08-05,132288.49091575097
2016-09-04,142709.15758241763
2016-10-04,153129.82424908428
2016-10-08,155329.62644688648
2016-11-03,165750.29311355314
2016-12-03,176170.9597802198
2017-01-02,186591.62644688645
2017-02-01,197012.2931135531
2017-03-03,207432.95978021977
2017-04-02,217853.62644688642
2017-05-02,228274.29311355308
2017-06-01,238694.95978021974
2017-07-01,249115.6264468864
2017-07-31,259536.29311355305
2017-08-30,269956.9597802196
2017-09-29,280377.6264468861
2017-10-08,282577.4286446883
2017-10-29,292998.09531135496
2017-11-28,303418.76197802165
2017-12-28,313839.42864468833
2018-01-27,324260.095311355
2018-02-26,334680.7619780217
2018-03-28,345101.4286446884
2018-04-27,355522.0953113551
2018-05-27,365942.76197802176
2018-06-26,376363.42864468845
2018-07-26,386784.09531135514
2018-08-25,397204.7619780218
2018-09-24,407625.4286446885
2018-10-08,409825.2308424907
2018-10-24,420245.89750915737
2018-11-23,430666.56417582405
2018-12-23,441087.23084249074
2019-01-22,451507.8975091574
2019-02-21,461928.5641758241
2019-03-23,472349.2308424908
2019-04-22,482769.8975091575
2019-05-22,493190.56417582417
2019-06-21,503611.23084249086
2019-07-21,514031.89750915754
2019-08-20,524452.5641758243
2019-09-19,534873.2308424911
2019-10-08,537073.0330402934
2019-10-19,547493.6997069604
2019-11-18,557914.3663736271
2019-12-18,568335.0330402937
2020-01-17,578755.6997069604
2020-02-16,589176.366373627
2020-03-17,599597.0330402936
2020-04-16,610017.6997069602
2020-05-16,620438.3663736269
2020-06-15,630859.0330402935
2020-07-15,641279.6997069601
2020-08-14,651700.3663736267
2020-09-13,662121.0330402934
2020-10-07,664320.8352380956
2020-10-13,674741.5019047622
2020-11-12,685162.1685714289
2020-12-12,695582.8352380955
2021-01-11,706003.5019047621
2021-02-10,716424.1685714287
2021-03-12,726844.8352380954
2021-04-11,737265.501904762
2021-05-11,747686.1685714286
2021-06-10,758106.8352380953
2021-07-10,768527.5019047619
2021-08-09,778948.1685714285
2021-09-08,789368.8352380951
2021-10-07,791568.6374358974
2021-10-08,801989.304102564
2021-11-07,812409.9707692306
2021-12-07,822830.6374358973
2022-01-06,833251.3041025639
2022-02-05,843671.9707692305
2022-03-07,854092.6374358971
2022-04-06,864513.3041025638
2022-05-06,874933.9707692304
2022-06-05,885354.637435897
2022-07-05,895775.3041025636
2022-08-04,906195.9707692303
2022-09-03,916616.6374358969
2022-10-03,927037.3041025635
2022-10-07,929237.1063003658
2022-11-02,939657.7729670324
2022-11-25,939658.7729670324
