Date, CostBasis
2018-10-10,249169.35323383083
2018-10-25,498338.70646766166
2018-11-09,747508.0597014924
2018-11-24,996677.4129353232
2018-12-09,1245846.766169154
2018-12-24,1495016.119402985
2019-01-08,1744185.472636816
2019-01-23,1993354.825870647
2019-02-07,2242524.179104478
2019-02-22,2491693.5323383086
2019-03-09,2740862.885572139
2019-03-24,2990032.2388059697
2019-04-08,3239201.5920398002
2019-04-23,3488370.945273631
2019-05-08,3737540.2985074613
2019-05-23,3986709.651741292
2019-06-07,4235879.004975122
2019-06-22,4485048.358208953
2019-07-07,4734217.711442784
2019-07-22,4983387.064676615
2019-08-06,5232556.417910446
2019-08-21,5481725.771144277
2019-09-05,5730895.124378108
2019-09-20,5980064.477611939
2019-10-05,6229233.83084577
2019-10-20,6478403.184079601
2019-11-04,6727572.537313432
2019-11-19,6976741.890547263
2019-12-04,7225911.243781094
2019-12-19,7475080.597014925
2020-01-03,7724249.950248756
2020-01-18,7973419.303482587
2020-02-02,8222588.656716418
2020-02-17,8471758.009950249
2020-03-03,8720927.36318408
2020-03-18,8970096.71641791
2020-04-02,9219266.069651742
2020-04-17,9468435.422885573
2020-05-02,9717604.776119404
2020-05-17,9966774.129353235
2020-06-01,1.0215943482587066E7
2020-06-16,1.0465112835820897E7
2020-07-01,1.0714282189054728E7
2020-07-16,1.0963451542288559E7
2020-07-31,1.121262089552239E7
2020-08-15,1.146179024875622E7
2020-08-30,1.1710959601990052E7
2020-09-14,1.1960128955223883E7
2020-09-29,1.2209298308457714E7
2020-10-14,1.2458467661691545E7
2020-10-29,1.2707637014925376E7
2020-11-13,1.2956806368159207E7
2020-11-28,1.3205975721393038E7
2020-12-13,1.3455145074626869E7
2020-12-28,1.37043144278607E7
2021-01-12,1.395348378109453E7
2021-01-27,1.4202653134328362E7
2021-02-11,1.4451822487562193E7
2021-02-26,1.4700991840796024E7
2021-03-13,1.4950161194029855E7
2021-03-28,1.5199330547263686E7
2021-04-12,1.5448499900497517E7
2021-04-27,1.5697669253731348E7
2021-05-12,1.5946838606965179E7
2021-05-27,1.619600796019901E7
2021-06-11,1.644517731343284E7
2021-06-26,1.6694346666666672E7
2021-07-11,1.6943516019900504E7
2021-07-26,1.7192685373134337E7
2021-08-10,1.744185472636817E7
2021-08-25,1.7691024079602003E7
2021-09-09,1.7940193432835836E7
2021-09-24,1.818936278606967E7
2021-10-09,1.84385321393035E7
2021-10-24,1.8687701492537335E7
2021-11-08,1.8936870845771167E7
2021-11-23,1.9186040199005E7
2021-12-08,1.9435209552238833E7
2021-12-23,1.9684378905472666E7
2022-01-07,1.99335482587065E7
2022-01-22,2.018271761194033E7
2022-02-06,2.0431886965174165E7
2022-02-21,2.0681056318407997E7
2022-03-08,2.093022567164183E7
2022-03-23,2.1179395024875663E7
2022-04-07,2.1428564378109496E7
2022-04-22,2.167773373134333E7
2022-05-07,2.192690308457716E7
2022-05-22,2.2176072437810995E7
2022-06-06,2.2425241791044828E7
2022-06-21,2.267441114427866E7
2022-07-06,2.2923580497512493E7
2022-07-21,2.3172749850746326E7
2022-08-05,2.342191920398016E7
2022-08-20,2.3671088557213992E7
2022-09-04,2.3920257910447825E7
2022-09-19,2.4169427263681658E7
2022-10-04,2.441859661691549E7
2022-10-10,2.455064230681592E7
2022-10-19,2.479981166004975E7
2022-11-03,2.5048981013283584E7
2022-11-24,2.5181026703184012E7
2022-11-28,2.5182978703184012E7
