Date, CostBasis
2014-10-10,101.73
2018-04-05,894.73
2020-10-10,3897.73
2020-11-09,6900.73
2020-12-09,9903.73
2021-01-08,12906.73
2021-02-07,15909.73
2021-03-09,18912.73
2021-04-08,21915.73
2021-05-08,24918.73
2021-06-07,27921.73
2021-07-07,30924.73
2021-08-06,33927.729999999996
2021-09-05,36930.729999999996
2021-10-05,39933.729999999996
2021-11-04,42936.729999999996
2021-12-04,45939.729999999996
2022-01-03,48942.729999999996
2022-02-02,51945.729999999996
2022-03-04,54948.729999999996
2022-04-03,57951.729999999996
2022-05-03,60954.729999999996
2022-06-02,63957.729999999996
2022-07-02,66960.73
2022-08-01,69963.73
2022-08-31,72966.73
2022-09-30,75969.73
2022-10-10,85122.73
