share,quantity,purchaseDate
MSFT,0.06022282445046673,2020-10-12
MSFT,0.12182573210770815,2021-01-19
MSFT,0.1742036914624117,2021-04-28
MSFT,0.2202664750364231,2021-08-06
MSFT,0.2599407492451693,2021-11-15
MSFT,0.30628209963211955,2022-02-22
MSFT,0.3548411109706487,2022-06-02
META,10.0,2022-10-10
GOOG,0.02549150814135041,2020-10-12
GOOG,0.047827145767965554,2021-01-19
GOOG,0.06463450402941241,2021-04-28
GOOG,0.07922920907042354,2021-08-06
GOOG,0.09261716526503086,2021-11-15
GOOG,0.1080728172037492,2022-02-22
GOOG,0.1250585322174227,2022-06-02
