share,quantity,purchaseDate
MSFT,15.920186796858417,2015-10-10
MSFT,29.768044994790472,2015-11-09
MSFT,43.40936911265151,2015-12-09
MSFT,57.7414921778149,2016-01-08
MSFT,72.69364528786275,2016-02-07
MSFT,87.21445845340003,2016-03-08
MSFT,100.98603392163359,2016-04-07
MSFT,115.86993945844645,2016-05-07
MSFT,130.25704860864786,2016-06-06
MSFT,144.8541681103995,2016-07-06
MSFT,157.79412670253203,2016-08-05
MSFT,170.79915531359498,2016-09-04
MSFT,183.9018806804713,2016-10-04
MSFT,196.56865994073138,2016-11-03
MSFT,209.22688778883264,2016-12-03
MSFT,221.29640822655392,2017-01-02
MSFT,233.0925705417474,2017-02-01
MSFT,244.76572229272014,2017-03-03
MSFT,256.15351457938885,2017-04-02
MSFT,266.9760254018997,2017-05-02
MSFT,277.6750268284332,2017-06-01
MSFT,288.55563033924125,2017-07-01
MSFT,298.8719989774806,2017-07-31
MSFT,309.00576468481745,2017-08-30
MSFT,319.0742302506652,2017-09-29
MSFT,328.02304304150164,2017-10-29
MSFT,336.85904681152994,2017-11-28
MSFT,345.6084635170829,2017-12-28
MSFT,353.58209736781646,2018-01-27
MSFT,361.4420847918366,2018-02-26
MSFT,369.83228503794913,2018-03-28
MSFT,377.6594609928646,2018-04-27
MSFT,385.2845118265368,2018-05-27
MSFT,392.8541525209252,2018-06-26
MSFT,399.69596970757,2018-07-26
MSFT,406.6147888957619,2018-08-25
MSFT,413.15529643914726,2018-09-24
MSFT,420.48524170888925,2018-10-24
MSFT,427.76184983928607,2018-11-23
MSFT,435.3969918529275,2018-12-23
MSFT,442.49388814361635,2019-01-22
MSFT,449.3488374169917,2019-02-21
MSFT,455.7563555716265,2019-03-23
MSFT,461.8164719258605,2019-04-22
MSFT,467.6909921733737,2019-05-22
MSFT,473.1666437759144,2019-06-21
MSFT,478.65632317863725,2019-07-21
MSFT,484.1204059412775,2019-08-20
MSFT,489.4369154755513,2019-09-19
MSFT,494.8950335164508,2019-10-19
MSFT,499.88372581390985,2019-11-18
MSFT,504.74218276798126,2019-12-18
MSFT,509.2305131090944,2020-01-17
MSFT,513.2769118142468,2020-02-16
MSFT,518.3939207519558,2020-03-17
MSFT,522.6302515246625,2020-04-16
MSFT,526.7250320444267,2020-05-16
MSFT,530.694546175897,2020-06-15
MSFT,534.2996221228303,2020-07-15
MSFT,537.8898566848217,2020-08-14
MSFT,541.5657866951143,2020-09-13
MSFT,544.9311281650954,2020-10-13
MSFT,548.4123758442636,2020-11-12
MSFT,551.9292097559207,2020-12-12
MSFT,555.3776441666982,2021-01-11
MSFT,558.4663518514029,2021-02-10
MSFT,561.6476880125906,2021-03-12
MSFT,564.5790931327782,2021-04-11
MSFT,567.6250257973601,2021-05-11
MSFT,570.5405910282728,2021-06-10
MSFT,573.2390151485865,2021-07-10
MSFT,575.8402012894668,2021-08-09
MSFT,578.3384525136099,2021-09-08
MSFT,580.8821187845951,2021-10-08
MSFT,583.1138631159646,2021-11-07
MSFT,585.3532038540513,2021-12-07
MSFT,587.7426520508144,2022-01-06
MSFT,590.1941131216126,2022-02-05
MSFT,592.8831525967122,2022-03-07
MSFT,595.3873262194167,2022-04-06
MSFT,598.1172792642243,2022-05-06
MSFT,600.8948512959256,2022-06-05
MSFT,603.7481897018605,2022-07-05
MSFT,606.3922933507235,2022-08-04
MSFT,609.3212943661106,2022-09-03
MSFT,612.4366885673235,2022-10-03
MSFT,615.8442305936751,2022-11-02
GOOG,9.322415748667671,2015-10-10
GOOG,17.599533656212266,2015-11-09
GOOG,25.582397109332902,2015-12-09
GOOG,33.98023046832628,2016-01-08
GOOG,42.75767827908451,2016-02-07
GOOG,51.40358516266737,2016-03-08
GOOG,59.50862649837818,2016-04-07
GOOG,67.94602103094653,2016-05-07
GOOG,76.31947717496998,2016-06-06
GOOG,84.91829913636127,2016-07-06
GOOG,92.58877547294178,2016-08-05
GOOG,100.36623639120066,2016-09-04
GOOG,108.09391306520862,2016-10-04
GOOG,115.96658570635908,2016-11-03
GOOG,123.96125592621252,2016-12-03
GOOG,131.7350892034015,2017-01-02
GOOG,139.2756669373322,2017-02-01
GOOG,146.51260426545494,2017-03-03
GOOG,153.74535415696369,2017-04-02
GOOG,160.29242761512788,2017-05-02
GOOG,166.49750543714555,2017-06-01
GOOG,173.1001266777781,2017-07-01
GOOG,179.54827283575767,2017-07-31
GOOG,186.0028701226753,2017-08-30
GOOG,192.25866977026524,2017-09-29
GOOG,198.14523564584286,2017-10-29
GOOG,203.87365145245155,2017-11-28
GOOG,209.5980775787324,2017-12-28
GOOG,214.70081264472776,2018-01-27
GOOG,219.94671428407202,2018-02-26
GOOG,225.9194784793416,2018-03-28
GOOG,231.7444384327419,2018-04-27
GOOG,237.3224091669888,2018-05-27
GOOG,242.6869282378541,2018-06-26
GOOG,247.41755827893172,2018-07-26
GOOG,252.33297219774548,2018-08-25
GOOG,257.4464487652391,2018-09-24
GOOG,263.15687314494426,2018-10-24
GOOG,269.0169348709278,2018-11-23
GOOG,275.1422590026631,2018-12-23
GOOG,280.74701183306325,2019-01-22
GOOG,286.2166235817893,2019-02-21
GOOG,291.1938114706321,2019-03-23
GOOG,295.9982700081549,2019-04-22
GOOG,301.20922691354133,2019-05-22
GOOG,306.5573924927477,2019-06-21
GOOG,311.86665715959134,2019-07-21
GOOG,316.9398377901877,2019-08-20
GOOG,321.7835865287948,2019-09-19
GOOG,326.6009676398435,2019-10-19
GOOG,331.1440129945796,2019-11-18
GOOG,335.5798486320831,2019-12-18
GOOG,339.6328346695462,2020-01-17
GOOG,343.57828228057764,2020-02-16
GOOG,348.93638194123133,2020-03-17
GOOG,353.6852085853147,2020-04-16
GOOG,358.0545966525159,2020-05-16
GOOG,362.2803951523574,2020-06-15
GOOG,366.24434959330773,2020-07-15
GOOG,370.2238419427337,2020-08-14
GOOG,374.16934144297045,2020-09-13
GOOG,377.9869124497912,2020-10-13
GOOG,381.4157973764131,2020-11-12
GOOG,384.78323537346097,2020-12-12
GOOG,388.1793592640605,2021-01-11
GOOG,391.04280169455046,2021-02-10
GOOG,393.95271090538307,2021-03-12
GOOG,396.57752060667974,2021-04-11
GOOG,399.1763182296462,2021-05-11
GOOG,401.5557598540117,2021-06-10
GOOG,403.87103021970864,2021-07-10
GOOG,406.04491175765736,2021-08-09
GOOG,408.11554091832784,2021-09-08
GOOG,410.2575412610479,2021-10-08
GOOG,412.2677127286741,2021-11-07
GOOG,414.2942399702665,2021-12-07
GOOG,416.47524919593553,2022-01-06
GOOG,418.5729165897936,2022-02-05
GOOG,420.94512381000163,2022-03-07
GOOG,423.1320952918935,2022-04-06
GOOG,425.72590473335987,2022-05-06
GOOG,428.3445283847687,2022-06-05
GOOG,430.9787184152375,2022-07-05
GOOG,481.4540275765061,2022-08-04
GOOG,536.6619775212981,2022-09-03
GOOG,597.0849382463737,2022-10-03
GOOG,665.9950106019496,2022-11-02
GOOG,663.9950106019496,2022-11-25
AAPL,26.757046022119155,2015-10-10
AAPL,51.638857417988774,2015-11-09
AAPL,77.58592539930689,2015-12-09
AAPL,108.52651945871283,2016-01-08
AAPL,140.4346241172961,2016-02-07
AAPL,170.12877436969637,2016-03-08
AAPL,197.76835424808223,2016-04-07
AAPL,230.12383310916937,2016-05-07
AAPL,260.5405420212651,2016-06-06
AAPL,291.94428953513506,2016-07-06
AAPL,319.85645924112686,2016-08-05
AAPL,347.70385550957576,2016-09-04
AAPL,374.25252807594745,2016-10-04
AAPL,401.5674693488237,2016-11-03
AAPL,428.8650125699338,2016-12-03
AAPL,454.7672747008266,2017-01-02
AAPL,478.068245574613,2017-02-01
AAPL,499.5305434713078,2017-03-03
AAPL,520.4131830369489,2017-04-02
AAPL,540.7507872671706,2017-05-02
AAPL,560.3355894606684,2017-06-01
AAPL,581.166029677305,2017-07-01
AAPL,601.3368089417439,2017-07-31
AAPL,619.7022818526714,2017-08-30
AAPL,639.1676335266916,2017-09-29
AAPL,657.5668975561304,2017-10-29
AAPL,674.9009242505315,2017-11-28
AAPL,692.4365800840596,2017-12-28
AAPL,709.9282715306225,2018-01-27
AAPL,726.6908574388752,2018-02-26
AAPL,744.7110400433924,2018-03-28
AAPL,763.193050886172,2018-04-27
AAPL,779.1014186876356,2018-05-27
AAPL,795.3677527981382,2018-06-26
AAPL,810.8149491320036,2018-07-26
AAPL,824.6935575701975,2018-08-25
AAPL,838.2811294710989,2018-09-24
AAPL,852.228779292104,2018-10-24
AAPL,869.6412814686668,2018-11-23
AAPL,889.5444195301011,2018-12-23
AAPL,909.1138911543673,2019-01-22
AAPL,926.6515972224136,2019-02-21
AAPL,942.35429285183,2019-03-23
AAPL,957.0220677503779,2019-04-22
AAPL,973.4352420582891,2019-05-22
AAPL,988.5273036339003,2019-06-21
AAPL,1003.3355370116583,2019-07-21
AAPL,1017.5968034121147,2019-08-20
AAPL,1031.1739214425274,2019-09-19
AAPL,1043.8637399781223,2019-10-19
AAPL,1055.0954883869579,2019-11-18
AAPL,1065.81973232776,2019-12-18
AAPL,1075.2320876127974,2020-01-17
AAPL,1084.464277180423,2020-02-16
AAPL,1096.3285499005053,2020-03-17
AAPL,1106.7928144371128,2020-04-16
AAPL,1116.542253844347,2020-05-16
AAPL,1125.2888645327052,2020-06-15
AAPL,1132.9634616163582,2020-07-15
AAPL,1139.4904507162864,2020-08-14
AAPL,1166.2761650020007,2020-09-13
AAPL,1191.049079948326,2020-10-13
AAPL,1216.2147539689618,2020-11-12
AAPL,1240.7225556191538,2020-12-12
AAPL,1263.98197568428,2021-01-11
AAPL,1286.1401853009431,2021-02-10
AAPL,1310.9274281332987,2021-03-12
AAPL,1333.4846671272458,2021-04-11
AAPL,1357.31120989589,2021-05-11
AAPL,1381.099965743959,2021-06-10
AAPL,1401.7739372138785,2021-07-10
AAPL,1422.3092236811246,2021-08-09
AAPL,1441.650336439812,2021-09-08
AAPL,1462.6440383292452,2021-10-08
AAPL,1482.474815695718,2021-11-07
AAPL,1500.0002275428965,2021-12-07
AAPL,1517.4420880080127,2022-01-06
AAPL,1534.844489539424,2022-02-05
AAPL,1553.6768812531718,2022-03-07
AAPL,1571.1359978218734,2022-04-06
AAPL,1590.210260283725,2022-05-06
AAPL,1610.8458360162879,2022-06-05
AAPL,1632.0382632556211,2022-07-05
AAPL,1650.1312612653915,2022-08-04
AAPL,1669.3854811485826,2022-09-03
AAPL,1690.4455022086036,2022-10-03
AAPL,1711.1308776481678,2022-11-02
MGM,85.03401360544218,2008-10-10
MGM,201.46200289406718,2009-10-10
MGM,306.8138781574469,2010-10-10
MGM,455.77857352464486,2011-10-10
MGM,592.4839733879395,2012-10-09
MGM,663.8055624329434,2013-10-09
MGM,730.5924454891111,2014-10-09
MGM,797.8826682197483,2015-10-09
MGM,851.9542590059492,2016-10-08
MGM,898.3213939806791,2017-10-08
MGM,952.2908472701173,2018-10-08
MGM,1006.5060817510064,2019-10-08
MGM,1072.9512644752588,2020-10-07
MGM,1104.8603872934725,2021-10-07
MGM,1148.5743232962702,2022-10-07
KO,18.535681186283597,2008-10-10
KO,32.61126708254653,2009-10-10
KO,45.55910026266384,2010-10-10
KO,57.05731803890852,2011-10-10
KO,77.006248776221,2012-10-09
KO,97.75141515245534,2013-10-09
KO,115.28573859058548,2014-10-09
KO,133.5920396193996,2015-10-09
KO,152.02555913128,2016-10-08
KO,168.9354463423323,2017-10-08
KO,185.48516168722838,2018-10-08
KO,199.84183897783623,2019-10-08
KO,215.36304093971617,2020-10-07
KO,229.63978127436297,2021-10-07
KO,243.75151800580252,2022-10-07
JNJ,1.0,2009-10-10
PNG,28.98550724637681,2015-10-10
PNG,57.97101449275362,2015-11-09
PNG,86.95652173913042,2015-12-09
PNG,115.94202898550724,2016-01-08
PNG,144.92753623188403,2016-02-07
PNG,173.91304347826085,2016-03-08
PNG,202.89855072463766,2016-04-07
PNG,231.88405797101447,2016-05-07
PNG,260.86956521739125,2016-06-06
PNG,289.85507246376807,2016-07-06
PNG,318.8405797101449,2016-08-05
PNG,347.8260869565217,2016-09-04
PNG,376.8115942028985,2016-10-04
PNG,405.7971014492753,2016-11-03
PNG,434.78260869565213,2016-12-03
PNG,463.76811594202894,2017-01-02
PNG,492.75362318840575,2017-02-01
PNG,521.7391304347825,2017-03-03
PNG,550.7246376811593,2017-04-02
