share,quantity,purchaseDate
MSFT,0.17231564438318403,2016-10-10
MSFT,0.3362697427438398,2016-10-24
MSFT,0.5051803997274574,2016-11-03
MSFT,0.6750665896374286,2016-11-15
MSFT,0.8400756640475919,2016-11-28
MSFT,1.0014634323225637,2016-12-09
MSFT,1.1588634952750345,2016-12-21
MSFT,1.3186781325393362,2017-01-03
MSFT,1.4786205601740716,2017-01-17
MSFT,1.6342328209489276,2017-01-26
MSFT,1.791905846331239,2017-02-07
MSFT,1.946987254301467,2017-02-21
MSFT,2.102647954690572,2017-03-03
MSFT,2.2571066419492594,2017-03-15
MSFT,2.4107349061581687,2017-03-27
MSFT,2.5633550801242913,2017-04-10
MSFT,2.716045156460169,2017-04-20
MSFT,2.8603626167776293,2017-05-02
MSFT,3.0065148891727778,2017-05-15
MSFT,3.149470864015545,2017-05-26
MSFT,3.2876280680492513,2017-06-07
MSFT,3.428748429274029,2017-06-19
MSFT,3.5754581256213958,2017-07-03
MSFT,3.7148088292580126,2017-07-13
MSFT,3.8496140590733514,2017-07-25
MSFT,3.987752180620313,2017-08-07
MSFT,4.12571879670529,2017-08-18
MSFT,4.260851886828246,2017-08-30
MSFT,4.394629307909038,2017-09-11
MSFT,4.531145824425554,2017-09-25
MSFT,4.6627925270713355,2017-10-05
MSFT,4.791690580944257,2017-10-17
MSFT,4.910908604546593,2017-10-30
MSFT,5.03015505739028,2017-11-10
MSFT,5.150491960290051,2017-11-22
MSFT,5.273841738287091,2017-12-04
MSFT,5.389623169173871,2017-12-18
MSFT,5.5062960576479725,2017-12-28
MSFT,5.6196626411891195,2018-01-09
MSFT,5.728834129017959,2018-01-22
MSFT,5.837803403369669,2018-02-02
MSFT,5.947936648606978,2018-02-14
MSFT,6.052749056907125,2018-02-26
MSFT,6.156099268749638,2018-03-12
MSFT,6.26748360999031,2018-03-22
MSFT,6.378967279592361,2018-04-03
MSFT,6.485170953798584,2018-04-16
MSFT,6.589545823345651,2018-04-27
MSFT,6.692714793842867,2018-05-09
MSFT,6.795186105318276,2018-05-21
MSFT,6.893555339113889,2018-06-04
MSFT,6.992167052779832,2018-06-14
MSFT,7.093107706796788,2018-06-26
MSFT,7.1913030921674315,2018-07-09
MSFT,7.285414318289573,2018-07-20
MSFT,7.3795166893847925,2018-08-01
MSFT,7.471940679773851,2018-08-13
MSFT,7.563192504591369,2018-08-27
MSFT,7.655166019397328,2018-09-06
MSFT,7.7435080386535775,2018-09-18
MSFT,7.830016126189258,2018-10-01
MSFT,7.921292935534882,2018-10-12
MSFT,8.019037267043872,2018-10-24
MSFT,8.112063032088985,2018-11-05
MSFT,8.207658520523319,2018-11-19
MSFT,8.298421747676418,2018-11-29
MSFT,8.390522309422435,2018-12-11
MSFT,8.4967711142668,2018-12-24
MSFT,8.59488943075851,2019-01-04
MSFT,8.689795485038259,2019-01-16
MSFT,8.784972493032168,2019-01-28
MSFT,8.879995770941907,2019-02-11
MSFT,8.97140606250575,2019-02-21
MSFT,9.060942320339233,2019-03-05
MSFT,9.14600823851564,2019-03-18
MSFT,9.230807288880232,2019-03-29
MSFT,9.3140188705426,2019-04-10
MSFT,9.394830118118554,2019-04-22
MSFT,9.472873036573489,2019-05-06
MSFT,9.55044381141255,2019-05-16
MSFT,9.62971774926924,2019-05-28
MSFT,9.705141580340129,2019-06-10
MSFT,9.77815902941657,2019-06-21
MSFT,9.850916195137506,2019-07-03
MSFT,9.922919074907124,2019-07-15
MSFT,9.993834482976329,2019-07-29
MSFT,10.065842546911817,2019-08-08
MSFT,10.13870572627944,2019-08-20
MSFT,10.212222339040393,2019-09-03
MSFT,10.285053681889213,2019-09-13
MSFT,10.356818894288754,2019-09-25
MSFT,10.429756467217576,2019-10-07
MSFT,10.502003812446212,2019-10-21
MSFT,10.57176178133789,2019-10-31
MSFT,10.639764773110516,2019-11-12
MSFT,10.705897154251824,2019-11-25
MSFT,10.771802920314427,2019-12-06
MSFT,10.836590119899839,2019-12-18
MSFT,10.90005353762939,2019-12-30
MSFT,10.961305374964029,2020-01-13
MSFT,11.0212933788028,2020-01-23
MSFT,11.07681858422141,2020-02-04
MSFT,11.130235237535516,2020-02-18
MSFT,11.19196722938787,2020-02-28
MSFT,11.257066493854445,2020-03-11
MSFT,11.330615545185523,2020-03-23
MSFT,11.391129855102628,2020-04-06
MSFT,11.447621043534621,2020-04-16
MSFT,11.506517457173393,2020-04-28
MSFT,11.560074274138158,2020-05-11
MSFT,11.614573756455197,2020-05-22
MSFT,11.668529302419806,2020-06-03
MSFT,11.721462508728687,2020-06-15
MSFT,11.771861621810727,2020-06-29
MSFT,11.818526422109345,2020-07-09
MSFT,11.866436362229106,2020-07-21
MSFT,11.91262274811624,2020-08-03
MSFT,11.960498286651424,2020-08-14
MSFT,12.005721890540187,2020-08-26
MSFT,12.055071540199716,2020-09-08
MSFT,12.10445042832058,2020-09-21
MSFT,12.151523759771207,2020-10-01
MSFT,12.196400363917308,2020-10-13
MSFT,12.244006989964527,2020-10-26
MSFT,12.288711084368247,2020-11-06
MSFT,12.336092172107493,2020-11-18
MSFT,12.38281146953357,2020-11-30
MSFT,12.429502412577454,2020-12-14
MSFT,12.474401178009552,2020-12-24
MSFT,12.520299296412489,2021-01-05
MSFT,12.56650702141711,2021-01-19
MSFT,12.609623075909264,2021-01-29
MSFT,12.650810786970956,2021-02-10
MSFT,12.693458008837828,2021-02-22
MSFT,12.737440593823974,2021-03-08
MSFT,12.78078837468389,2021-03-18
MSFT,12.823924885358895,2021-03-30
MSFT,12.863005812247255,2021-04-12
MSFT,12.901302576558955,2021-04-23
TSLA,0.4110743427948944,2020-10-12
TSLA,0.6729092820491884,2021-04-28
QCOM,7.893282816323309,2020-10-12
QCOM,15.215535141138421,2021-04-28
AMZN,0.08298579573627281,2020-10-12
AMZN,0.1655979934272619,2021-04-28
