share,quantity,purchaseDate
MSFT,27.805555555555554,2020-10-12
MSFT,49.07326093799182,2021-08-06
MSFT,71.49350276186829,2022-06-02
KO,31.803223640026864,2010-10-11
KO,60.11712498531834,2011-10-10
KO,109.24056896872082,2012-10-09
KO,160.32471136354283,2013-10-09
KO,203.50228145700078,2014-10-09
KO,244.3878631566144,2014-10-10
KO,289.466397188028,2015-10-09
KO,332.7564404780713,2015-10-12
KO,376.32657750615226,2016-10-10
KO,416.3658159598369,2017-10-09
KO,455.5592157913053,2018-10-09
KO,524.4141776233664,2020-10-12
KO,586.5222284708241,2021-08-06
KO,641.7207221158892,2022-06-02
QCOM,79.62426437301947,2010-10-11
QCOM,147.15738013420204,2011-10-10
QCOM,205.40874625442063,2012-10-09
QCOM,258.9439768129353,2013-10-09
QCOM,306.4304778928489,2014-10-09
QCOM,367.3131362521428,2015-10-09
V,10.841166075823116,2014-10-10
V,40.47474684955591,2015-10-12
V,67.2098553940966,2016-10-10
V,87.97634658391272,2017-10-09
V,103.59170897743546,2018-10-09
V,116.84784592833985,2020-10-12
V,128.18200776208744,2021-08-06
V,140.90494041340884,2022-06-02
