share,quantity,purchaseDate
MSFT,0.9370314842578711,2010-11-11
MSFT,1.8970929281902826,2010-12-01
MSFT,2.7877234946313227,2010-12-21
MSFT,3.673620021916936,2011-01-10
MSFT,4.574488459090371,2011-01-30
MSFT,5.498361334182758,2011-02-19
MSFT,6.471881583403942,2011-03-11
MSFT,7.456521205302327,2011-03-31
MSFT,8.427018099712264,2011-04-20
MSFT,9.400917593284527,2011-05-10
MSFT,10.41061064659632,2011-05-30
MSFT,11.4411135320044,2011-06-19
MSFT,12.369791095154474,2011-07-09
MSFT,13.282199854278561,2011-07-29
MSFT,14.295576425012246,2011-08-18
MSFT,15.257114886550708,2011-09-07
MSFT,16.23101438012297,2011-09-27
MSFT,17.15762668553439,2011-10-17
MSFT,18.11000763791534,2011-11-06
MSFT,19.13881422227748,2011-11-26
MSFT,20.10035268381594,2011-12-16
MSFT,21.003531874567386,2012-01-05
MSFT,21.849269357652638,2012-01-25
MSFT,22.675715638644373,2012-02-14
MSFT,23.461879160656952,2012-03-05
MSFT,24.242885096302064,2012-03-25
MSFT,25.054309958359838,2012-04-14
MSFT,25.861282198514775,2012-05-04
MSFT,26.721275318569816,2012-05-24
MSFT,27.579497083073765,2012-06-13
MSFT,28.39224090622071,2012-07-03
MSFT,29.246066042832734,2012-07-23
MSFT,30.0678937877374,2012-08-12
MSFT,30.87905537112481,2012-09-01
MSFT,31.680594325918012,2012-09-21
MSFT,32.544152184294525,2012-10-11
MSFT,33.420115744210435,2012-10-31
MSFT,34.356094778280074,2012-11-20
MSFT,35.28408290003212,2012-12-10
MSFT,36.2257024857195,2012-12-30
MSFT,37.14313367838005,2013-01-19
MSFT,38.050574694713994,2013-02-08
MSFT,38.949855270253565,2013-02-28
MSFT,39.83277951535334,2013-03-20
MSFT,40.67708887030099,2013-04-09
MSFT,41.44372487152761,2013-04-29
MSFT,42.16067353800309,2013-05-19
MSFT,42.86154261565938,2013-06-08
MSFT,43.58523634847165,2013-06-28
MSFT,44.29065395569513,2013-07-18
MSFT,45.07036889191445,2013-08-07
MSFT,45.82202252991806,2013-08-27
MSFT,46.58419441492156,2013-09-16
MSFT,47.322092880092754,2013-10-06
MSFT,48.02178501555315,2013-10-26
MSFT,48.682444089044864,2013-11-15
MSFT,49.34033882588697,2013-12-05
MSFT,50.01455673311458,2013-12-25
MSFT,50.713271098681936,2014-01-14
MSFT,51.3985781162258,2014-02-03
MSFT,52.05681929579399,2014-02-23
MSFT,52.719949269268795,2014-03-15
MSFT,53.34698714235633,2014-04-04
MSFT,53.974182325497324,2014-04-24
MSFT,54.59545469130249,2014-05-14
MSFT,55.215956056405496,2014-06-03
MSFT,55.81133590875129,2014-06-23
MSFT,56.40530122117704,2014-07-13
MSFT,56.988595668213904,2014-08-02
MSFT,57.54230552424934,2014-08-22
MSFT,58.074220417866364,2014-09-11
MSFT,58.618882727234556,2014-10-01
MSFT,59.17592372545202,2014-10-21
MSFT,59.68727574017896,2014-11-10
MSFT,60.21017889851404,2014-11-30
MSFT,60.734727786470394,2014-12-20
MSFT,61.264501043516375,2015-01-09
MSFT,61.859597449134085,2015-01-29
MSFT,62.43391401242377,2015-02-18
MSFT,63.02872724106997,2015-03-10
MSFT,63.63907880356997,2015-03-30
MSFT,64.23982372727536,2015-04-19
MSFT,64.76338393669946,2015-05-09
MSFT,65.29688799133027,2015-05-29
MSFT,65.8319907310563,2015-06-18
MSFT,66.39709018856081,2015-07-08
MSFT,66.9484796901047,2015-07-28
MSFT,67.47679752611485,2015-08-17
MSFT,68.06351425927608,2015-09-06
MSFT,68.63247192882547,2015-09-26
MSFT,69.15867693829716,2015-10-16
MSFT,69.61840477941521,2015-11-05
MSFT,70.08404083827162,2015-11-25
MSFT,70.53693938899626,2015-12-15
MSFT,70.9931437685583,2016-01-04
MSFT,71.47124665629974,2016-01-24
MSFT,71.96629616125024,2016-02-13
MSFT,72.44678818508264,2016-03-04
MSFT,72.90795771100036,2016-03-24
MSFT,73.35962889437886,2016-04-13
MSFT,73.8618386171591,2016-05-03
MSFT,74.36153879705115,2016-05-23
MSFT,74.84716428267664,2016-06-12
MSFT,75.33582730065945,2016-07-02
MSFT,75.77775765243601,2016-07-22
MSFT,76.20657411898833,2016-08-11
MSFT,76.64165939570256,2016-08-31
MSFT,77.08172276482772,2016-09-20
MSFT,77.51246018729498,2016-10-10
MSFT,77.93003159200518,2016-10-30
MSFT,78.34428179913029,2016-11-19
MSFT,78.7477028092965,2016-12-09
MSFT,79.14515908910572,2016-12-29
MSFT,79.54515908910572,2017-01-18
MSFT,79.93929435632944,2017-02-07
MSFT,80.32852057460751,2017-02-27
MSFT,80.71390673153675,2017-03-19
MSFT,81.09454010547098,2017-04-08
MSFT,81.45971685101583,2017-04-28
MSFT,81.82893853171292,2017-05-18
MSFT,82.17429009960904,2017-06-07
MSFT,82.53550957656324,2017-06-27
MSFT,82.87634120573843,2017-07-17
MSFT,83.22031478856726,2017-08-06
MSFT,83.56362706541428,2017-08-26
MSFT,83.89558829234298,2017-09-15
MSFT,84.22466555968535,2017-10-05
MSFT,84.54261036446724,2017-10-25
MSFT,84.84005236327747,2017-11-14
MSFT,85.14838980777672,2017-12-04
MSFT,85.44075327403797,2017-12-24
MSFT,85.71977113118083,2018-01-13
MSFT,85.99216163020023,2018-02-02
MSFT,86.26470060327338,2018-02-22
MSFT,86.53108312857972,2018-03-14
MSFT,86.8097588614969,2018-04-03
MSFT,87.07195078598563,2018-04-23
MSFT,87.32783614934286,2018-05-13
MSFT,87.57587662954923,2018-06-02
MSFT,87.82485581488933,2018-06-22
MSFT,88.06480206692888,2018-07-12
MSFT,88.30002976734288,2018-08-01
MSFT,88.53592333216643,2018-08-21
MSFT,88.76448431223592,2018-09-10
MSFT,88.98307310300274,2018-09-30
MSFT,89.21314856775518,2018-10-20
MSFT,89.44131321136202,2018-11-09
MSFT,89.6681940535437,2018-11-29
MSFT,89.90929734219256,2018-12-19
MSFT,90.15248800367115,2019-01-08
MSFT,90.3904019739795,2019-01-28
MSFT,90.62141287769415,2019-02-17
MSFT,90.84763674883703,2019-03-09
MSFT,91.0596089380858,2019-03-29
MSFT,91.26225139573353,2019-04-18
MSFT,91.46143871148526,2019-05-08
MSFT,91.65959977679914,2019-05-28
MSFT,91.84778193713034,2019-06-17
MSFT,92.03018380492546,2019-07-07
MSFT,92.20706225405522,2019-07-27
MSFT,92.39071023760036,2019-08-16
MSFT,92.56921791343042,2019-09-05
MSFT,92.74860941744879,2019-09-25
MSFT,92.92520050313078,2019-10-15
MSFT,93.09815103927744,2019-11-04
MSFT,93.26527451009768,2019-11-24
MSFT,93.42705539406843,2019-12-14
MSFT,93.58466477497879,2020-01-03
MSFT,93.73461679033387,2020-01-23
MSFT,93.86996409150869,2020-02-12
MSFT,94.02193053731746,2020-03-03
MSFT,94.20578110357721,2020-03-23
MSFT,94.3571678057693,2020-04-12
MSFT,94.50037683366641,2020-05-02
MSFT,94.63660919157606,2020-05-22
MSFT,94.770822967278,2020-06-11
MSFT,94.89295291354081,2020-07-01
MSFT,95.01271339258273,2020-07-21
MSFT,95.13276141179041,2020-08-10
MSFT,95.24197463969658,2020-08-30
MSFT,95.36673136408402,2020-09-19
MSFT,95.4825740034427,2020-10-09
MSFT,95.60469201829225,2020-10-29
MSFT,95.72313052501956,2020-11-18
MSFT,95.83886590764074,2020-12-08
MSFT,95.94999677535056,2020-12-28
MSFT,96.06756084777003,2021-01-17
MSFT,96.17078132671304,2021-02-06
MSFT,96.27836373483767,2021-02-26
MSFT,96.38672018421353,2021-03-18
MSFT,96.48676020021993,2021-04-07
MSFT,96.5821909747361,2021-04-27
MSFT,96.68415687733827,2021-05-17
MSFT,96.78384187275276,2021-06-06
MSFT,96.87817437596007,2021-06-26
MSFT,96.96722157097342,2021-07-16
MSFT,97.0535713913658,2021-08-05
MSFT,97.13635010730235,2021-08-25
MSFT,97.21974181483095,2021-09-14
MSFT,97.30804671398676,2021-10-04
MSFT,97.38891099138357,2021-10-24
MSFT,97.46315665543679,2021-11-13
MSFT,97.54055364005028,2021-12-03
MSFT,97.61524962738184,2021-12-23
MSFT,97.69379928647632,2022-01-12
MSFT,97.7747683239164,2022-02-01
MSFT,97.86159498317386,2022-02-21
