share,quantity,purchaseDate
MSFT,11.597871137905049,2018-10-10
MSFT,22.828647385282594,2018-10-22
MSFT,34.280884386491785,2018-11-05
MSFT,45.75767409566404,2018-11-15
MSFT,57.249460543302646,2018-11-27
MSFT,68.69318207876134,2018-12-10
MSFT,81.22733661403569,2018-12-21
MSFT,93.4032662026433,2019-01-02
MSFT,105.46823435550954,2019-01-14
MSFT,117.18530706201886,2019-01-28
MSFT,128.88123182690916,2019-02-07
MSFT,140.2635929251804,2019-02-19
MSFT,151.23125727579506,2019-03-04
MSFT,161.8535504342801,2019-03-15
MSFT,172.39761140884548,2019-03-27
MSFT,182.66385004805167,2019-04-08
MSFT,192.61237945981637,2019-04-22
MSFT,202.3677871137265,2019-05-02
MSFT,212.23894882301857,2019-05-14
MSFT,221.99822276087525,2019-05-28
MSFT,231.36831408507618,2019-06-07
MSFT,240.44215887835497,2019-06-19
MSFT,249.51667243967572,2019-07-01
MSFT,258.38081930792623,2019-07-15
MSFT,267.163400091149,2019-07-25
MSFT,276.3046132472853,2019-08-06
MSFT,285.20014102707,2019-08-19
MSFT,294.13115800081147,2019-08-30
MSFT,303.17633872370305,2019-09-11
MSFT,312.025195989766,2019-09-23
MSFT,321.004411275647,2019-10-07
MSFT,329.81842802702505,2019-10-17
MSFT,338.438675874116,2019-10-29
MSFT,346.8654091572588,2019-11-11
MSFT,355.09610639637907,2019-11-22
MSFT,363.31252281279546,2019-12-04
MSFT,371.22887335609903,2019-12-16
MSFT,379.04174219295413,2019-12-30
MSFT,386.63770739747014,2020-01-09
MSFT,394.0324821722449,2020-01-21
MSFT,401.09309692164277,2020-02-03
MSFT,407.73582689196917,2020-02-14
MSFT,414.97112100961624,2020-02-26
MSFT,423.14553343824457,2020-03-09
MSFT,432.20002674608395,2020-03-23
MSFT,440.13014396880715,2020-04-02
MSFT,447.2183995819332,2020-04-14
MSFT,454.2924013055759,2020-04-27
MSFT,460.9592304153874,2020-05-08
MSFT,467.5908688943274,2020-05-20
MSFT,474.32515757780385,2020-06-01
MSFT,480.84167075659076,2020-06-15
MSFT,486.98737306267043,2020-06-25
MSFT,492.89964197023346,2020-07-07
MSFT,498.71830926701983,2020-07-20
MSFT,504.7240163057009,2020-07-31
MSFT,510.60971829910403,2020-08-12
MSFT,516.3714759854721,2020-08-24
MSFT,522.4468238587574,2020-09-08
MSFT,528.5146864579393,2020-09-17
MSFT,534.4551959629089,2020-09-29
MSFT,540.01630707402,2020-10-12
MSFT,545.7103828266908,2020-10-23
MSFT,551.4002483472785,2020-11-04
MSFT,557.0681119020362,2020-11-16
MSFT,562.819641775442,2020-11-30
MSFT,568.6681597309807,2020-12-10
MSFT,574.1661949189776,2020-12-22
MSFT,579.8220817304986,2021-01-04
MSFT,585.6120182458994,2021-01-15
MSFT,590.8985360647058,2021-01-27
MSFT,595.9764013676299,2021-02-08
MSFT,601.2266252386802,2021-02-22
MSFT,606.6570049855156,2021-03-04
MSFT,611.8365514917627,2021-03-16
MSFT,617.0704827959627,2021-03-29
MSFT,621.8827946974675,2021-04-09
MSFT,626.6077544027404,2021-04-21
MSFT,631.4963035967371,2021-05-03
MSFT,636.5180427271719,2021-05-17
MSFT,641.4565931262733,2021-05-27
MSFT,646.3314001104758,2021-06-08
MSFT,651.0194783955155,2021-06-21
MSFT,655.4539462507289,2021-07-02
MSFT,659.8121282619851,2021-07-14
MSFT,664.0717027300702,2021-07-26
MSFT,668.3419139463849,2021-08-09
MSFT,672.490682352895,2021-08-19
MSFT,676.5692234950707,2021-08-31
MSFT,680.7149186363213,2021-09-13
MSFT,684.827930161292,2021-09-24
MSFT,689.0285033249506,2021-10-06
MSFT,693.035239632673,2021-10-18
MSFT,696.7733760749719,2021-11-01
MSFT,700.4771031754141,2021-11-11
MSFT,704.123247454021,2021-11-23
MSFT,707.8978266869834,2021-12-06
MSFT,711.700266464624,2021-12-17
MSFT,715.300880589496,2021-12-29
MSFT,719.2186264767904,2022-01-10
MSFT,723.3729943277875,2022-01-24
MSFT,727.4600648672066,2022-02-03
MSFT,731.5577451680685,2022-02-15
MSFT,735.678465406363,2022-02-28
MSFT,740.0746163686224,2022-03-11
MSFT,744.1857052196692,2022-03-23
MSFT,748.0947441757603,2022-04-04
MSFT,752.4838429922439,2022-04-18
MSFT,756.7348874282485,2022-04-28
MSFT,761.3034588568199,2022-05-10
MSFT,766.0271496298873,2022-05-23
MSFT,770.5869229800095,2022-06-03
MSFT,775.4774139237654,2022-06-15
MSFT,780.125494258999,2022-06-27
MSFT,784.7802521131443,2022-07-11
MSFT,789.4292099744946,2022-07-21
MSFT,793.9093424248257,2022-08-02
MSFT,798.1047627403605,2022-08-15
MSFT,802.6973622405283,2022-08-26
MSFT,807.4679073991938,2022-09-07
MSFT,812.5032010357062,2022-09-19
MSFT,817.6175567721854,2022-10-03
MSFT,822.8738323869395,2022-10-13
MSFT,827.7857848324833,2022-10-25
