share,quantity,purchaseDate
MSFT,0.11329005653173821,2021-10-11
MSFT,0.22342828000219364,2022-01-18
MSFT,0.3385176468955864,2022-04-28
MSFT,0.4574293668347036,2022-08-08
MSFT,0.5954270208745849,2022-11-14
GOOG,20.0,2022-10-10
AAPL,1.7505776906379105,2021-10-11
AAPL,3.2228980675519265,2022-01-18
AAPL,4.750641895466861,2022-04-28
AAPL,6.266988107634024,2022-08-08
AAPL,7.952987568114197,2022-11-14
VZ,3.1940718027341255,2021-10-11
VZ,6.313417987773741,2022-01-18
VZ,9.75694415857264,2022-04-28
VZ,13.49889895575869,2022-08-08
VZ,17.849373157446674,2022-11-14
