share,quantity,purchaseDate
GOOG,2.146511843722002,2015-10-12
GOOG,4.061402122219025,2015-11-09
GOOG,5.9082173774440845,2015-12-09
AAPL,97.6330787896089,2015-10-12
AAPL,188.00258690041883,2015-11-09
AAPL,282.24105423237137,2015-12-09
TSLA,1.9936124656600254,2014-01-09
TSLA,3.3449455557534025,2014-02-24
TSLA,4.700763778492643,2014-04-09
TSLA,6.090996559069422,2014-05-27
TSLA,7.433570380490993,2014-07-08
TSLA,8.578977526915262,2014-08-22
TSLA,9.707508134922412,2014-10-06
TSLA,10.890080798099701,2014-11-20
TSLA,12.290041039228853,2015-01-05
TSLA,13.72855051325225,2015-02-18
TSLA,15.176692547022922,2015-04-06
TSLA,16.36677770951715,2015-05-19
TSLA,17.418249349224084,2015-07-06
TSLA,18.571697119955576,2015-08-17
TSLA,19.79780036765786,2015-10-01
QCOM,4.228115275334867,2014-01-09
QCOM,8.371029235297746,2014-02-24
QCOM,12.280700197389576,2014-04-09
QCOM,16.164617671911078,2014-05-27
QCOM,20.03938518586024,2014-07-08
QCOM,24.107336240273156,2014-08-22
QCOM,28.289336909393263,2014-10-06
QCOM,32.70879667463156,2014-11-20
QCOM,36.935768134120266,2015-01-05
QCOM,41.36587870968023,2015-02-18
QCOM,45.977744117000185,2015-04-06
QCOM,50.46639680300995,2015-05-19
QCOM,55.41806848737059,2015-07-06
QCOM,60.45270679895429,2015-08-17
QCOM,66.3289760731175,2015-10-01
V,1.3253915869443627,2014-01-09
V,2.625703921967235,2014-02-24
V,4.042865177912226,2014-04-09
V,5.414043019678303,2014-05-27
V,6.780379761566362,2014-07-08
V,8.141468414714696,2014-08-22
V,9.530191428354733,2014-10-06
V,10.698855341649221,2014-11-20
V,11.833699833908447,2015-01-05
V,12.926586453478986,2015-02-18
V,17.437593310209408,2015-04-06
V,21.62969204251875,2015-05-19
V,25.94733219311804,2015-07-06
V,29.899995102119835,2015-08-17
V,34.10227610024562,2015-10-01
