share,quantity,purchaseDate
AAPL,21.273276510048074,2014-10-10
AAPL,38.33424102324189,2015-04-08
AAPL,57.67759851427947,2015-10-05
AAPL,76.9617700662696,2016-04-04
AAPL,96.06372355938015,2016-09-29
AAPL,110.96537267521563,2017-03-28
AAPL,125.19889737038098,2017-09-25
AAPL,138.19063462548672,2018-03-23
AAPL,148.00359951469835,2018-09-19
MGM,160.56518946692356,2014-10-10
MGM,314.95765511459996,2015-04-08
MGM,479.1612675940745,2015-10-05
MGM,633.3394976279938,2016-04-04
MGM,762.2885627472716,2016-09-29
MGM,884.9728959579206,2017-03-28
MGM,989.3352420234602,2017-09-25
MGM,1089.555727090608,2018-03-23
MGM,1207.0507335528332,2018-09-19
KO,21.081628063863278,2014-10-10
KO,44.008994168045234,2015-04-08
KO,66.86927214902548,2015-10-05
KO,86.86287419637033,2016-04-04
KO,109.16837027060302,2016-09-29
KO,131.26358591990777,2017-03-28
KO,151.78229898622425,2017-09-25
KO,173.92971216836457,2018-03-23
KO,194.32788449212435,2018-09-19
V,3.2523498227469347,2014-10-10
V,13.277412479388538,2015-04-08
V,22.50718773436108,2015-10-05
V,31.07286506529602,2016-04-04
V,39.21088589862936,2016-09-29
V,46.6914364671512,2017-03-28
V,53.1626718259812,2017-09-25
V,58.860677523986894,2018-03-23
V,63.38290426843586,2018-09-19
